variable,Temperature,sea_pressure,Precipitation,Cloud,Sunshine,Radiation,Wind,WDirection
20200818T2000,21.920801,1003.8,0.1,88,0,0,2.7812977,196.69925
20200818T2100,22.0508,1004.9,0.2,72,0,0,1.8648,180
20200818T2200,21.9108,1005,0,100,0,0,2.664,180
20200818T2300,21.8008,1004.7,0.2,100,0,0,2.7812977,196.69925
20200819T0000,21.7108,1004.4,0.4,100,0,0,3.1067312,210.96376
20200819T0100,21.670801,1004.1,1.9,100,0,0,2.5132127,212.00539
20200819T0200,21.5708,1003.5,2.7,100,0,0,3.2951863,255.96376
20200819T0300,21.4108,1002.9,1.3,100,0,0,2.6772869,275.7106
20200819T0400,21.0208,1002.8,0,100,0,0,2.4560864,282.5288
20200819T0500,20.750801,1002.7,0,100,0,0,1.9210378,303.69006
20200819T0600,20.830801,1002.9,0.2,76,11.489361,39.16,4.802594,236.30994
20200819T0700,21.4608,1003.2,0.1,100,0,149.52,5.2339296,255.25644
20200819T0800,22.1408,1003.9,0,100,0,178,4.066419,238.3925
20200819T0900,22.4908,1004.5,0,100,0,197.58,3.8142672,245.22485
20200819T1000,22.6408,1004.2,0,100,0,232.29,3.8420756,236.30994
20200819T1100,22.5508,1003.7,0,100,0,240.3,2.664,233.1301
20200819T1200,22.6908,1003.4,0,59,22.340425,242.97,3.207881,228.36647
20200819T1300,22.7108,1003.6,0,100,0,235.84999,2.382754,243.43495
20200819T1400,24.0308,1002.9,0,58,22.978725,320.4,2.7812977,253.30075
20200819T1500,24.5608,1002.1,0,65,18.510641,630.12,2.4560866,220.6013
20200819T1600,24.5508,1002.2,0,49,28.723406,461.91,1.9210378,213.69006
20200819T1700,24.0508,1002.5,0,32,39.57447,270.56,1.7057923,231.3402
20200819T1800,22.6308,1003,0,52,24.187233,62.3,3.2518265,235.00798
20200819T1900,22.4108,1003.7,0.2,67,0,0,3.207881,228.36647
20200819T2000,22.2008,1004.4,0.7,87,0,0,3.767465,225
20200819T2100,22.2008,1005,0,100,0,0,2.2761226,200.55605
20200819T2200,22.0908,1005.1,0,100,0,0,2.1312,180
20200819T2300,21.9408,1005.4,0,100,0,0,1.4346079,201.8014
20200820T0000,21.750801,1005.2,0,100,0,0,1.5533656,239.03624
20200820T0100,21.4608,1004.9,0,100,0,0,3.4631999,270
20200820T0200,21.1608,1004.3,0.2,100,0,0,3.996,270
20200820T0300,20.8508,1003.9,0,100,0,0,3.767465,261.8699
20200820T0400,20.5208,1004.3,0,100,0,0,3.207881,265.23636
20200820T0500,20.1508,1004.7,0,100,0,0,2.9424841,264.80557
20200820T0600,20.2008,1005.1,0,100,0,29.369999,4.890454,240.64224
20200820T0700,20.5108,1005.5,0,100,0,80.1,4.295571,262.875
20200820T0800,21.250801,1006,0,100,0,169.09999,3.4734309,212.47119
20200820T0900,23.3708,1006.3,0.3,79,9.574467,261.66,3.4631999,180
20200820T1000,22.8208,1006.5,0.3,100,0,153.08,2.1477854,187.12502
20200820T1100,23.670801,1005.9,0.2,100,0,295.47998,3.013972,135
20200820T1200,23.8708,1004.8,0,53,26.170214,333.75,3.9603205,132.27368
20200820T1300,26.3208,1003.8,0,2,58.723404,663.94,3.996,180
20200820T1400,25.5508,1003.3,0,43,32.553192,626.56,2.664,233.1301
20200820T1500,25.9708,1003.2,0,12.6,51.957447,240.3,3.4734309,265.6013
20200820T1600,24.5408,1003.9,0,69,15.957448,298.15,3.0374272,254.74487
20200820T1700,24.0608,1004.8,0,78,10.212765,100.57,1.7057923,231.3402
20200820T1800,22.4808,1005.4,0.4,100,0,15.13,3.8420756,213.69006
20200820T1900,21.6108,1006.3,2.5,100,0,0,5.7198505,207.75854
20200820T2000,21.1508,1007.5,4.2,100,0,0,5.4919763,194.03624
20200820T2100,21.0108,1008.4,5,100,0,0,4.5288,180
20200820T2200,20.7808,1008.5,3.3,100,0,0,2.9784424,169.69516
20200820T2300,20.6608,1008.5,2.3,100,0,0,1.5533656,149.03624
20200821T0000,20.3108,1008.1,0.2,100,0,0,1.4346079,158.1986
20200821T0100,20.1608,1008,0,100,0,0,1.332,126.869896
20200821T0200,20.000801,1007.5,0,100,0,0,0.2664,360
20200821T0300,19.8808,1006.6,0,100,0,0,0,180
20200821T0400,19.8708,1006.4,0,100,0,0,2.028842,156.8014
20200821T0500,19.9508,1006.9,0,100,0,0,3.7105224,111.03751
20200821T0600,21.1908,1007.6,0,100,0,72.09,3.0374272,164.74487
20200821T0700,22.8808,1007.7,0.1,79,9.574467,246.53,1.1302395,135
20200821T0800,23.8008,1008.4,0.1,100,0,403.16998,3.767465,135
20200821T0900,24.1508,1008.5,0,100,0,307.94,4.336678,132.51044
20200821T1000,24.2208,1008.3,1.1,100,0,388.04,4.5833187,144.46231
20200821T1100,23.8408,1008.2,2.6,100,0,184.23,4.4097047,154.98311
20200821T1200,23.4808,1008.1,2.7,98,0,174.44,4.1698194,153.43495
20200821T1300,23.1108,1008.2,2.5,100,0,176.22,3.9333487,151.69923
20200821T1400,22.1608,1007.7,0.2,100,0,97.01,3.996,143.1301
20200821T1500,21.4808,1006.9,0.2,100,0,72.979996,3.6234317,126.027374
20200821T1600,21.5508,1006.7,0,100,0,72.09,3.4115846,128.6598
20200821T1700,21.7808,1007.2,0,100,0,69.42,2.742756,150.94539
20200821T1800,21.5708,1007.3,0,100,0,31.15,3.207881,221.63354
20200821T1900,21.6808,1007.8,0.4,100,0,0,3.4734309,212.47119
20200821T2000,21.2708,1008.4,0.3,100,0,0,2.8692157,201.8014
20200821T2100,21.3808,1009,0.2,100,0,0,2.5272923,161.56505
20200821T2200,21.0308,1009,0,100,0,0,3.0374274,127.874985
20200821T2300,20.3908,1009.2,0,32,0,0,3.3379824,118.61046
20200822T0000,20.000801,1009.1,0,9,0,0,3.4632,112.61986
20200822T0100,19.5508,1008.8,0,19,0,0,3.207881,94.76363
20200822T0200,19.5608,1008,0,100,0,0,2.6772869,95.71059
20200822T0300,19.8208,1007.2,0,100,0,0,1.8837326,98.1301
20200822T0400,19.9708,1007.1,0,100,0,0,0.79920006,89.99999
20200822T0500,20.1108,1007.3,0,100,0,0,0.5956885,153.43495
20200822T0600,21.0708,1007.7,0,30,40.851067,102.35,3.2408962,189.46233
20200822T0700,22.3608,1007.4,0,18,48.51064,307.94,2.9784424,190.30484
20200822T0800,23.6208,1007.7,0,74,12.765956,449.44998,3.2408962,170.53767
20200822T0900,23.5908,1008.3,1.2,97,0,340.87,2.8815567,146.30994
20200822T1000,23.2708,1008.4,2.3,100,0,186.01,3.1067312,149.03624
20200822T1100,23.080801,1008.3,2.4,100,0,174.44,3.2951863,165.96376
20200822T1200,22.7008,1008.1,2.3,100,0,169.09999,2.9424841,185.19443
20200822T1300,22.2108,1007.8,2.6,100,0,145.95999,2.382754,206.56505
20200822T1400,21.7208,1007.1,2.2,100,0,137.06,1.9210378,236.30994
20200822T1500,21.3208,1006.3,0.6,100,0,106.799995,1.1302395,225
20200822T1600,21.5908,1006.2,0.7,100,0,154.86,1.332,216.8699
20200822T1700,21.4108,1006.3,0,100,0,99.68,2.8692157,201.8014
20200822T1800,21.1208,1006.5,0,75,10.342197,45.39,3.4115846,231.3402
20200822T1900,20.8708,1007,0,88,0,0,2.8318708,228.81409
20200822T2000,21.0908,1007.8,0.6,100,0,0,2.664,216.8699
20200822T2100,21.0408,1008.5,1.1,100,0,0,3.700947,210.25644
20200822T2200,20.7608,1008.6,1.1,100,0,0,5.3611965,206.56505
20200822T2300,20.5408,1008.6,1,100,0,0,4.912173,192.52881
